Songnum	Nation	Songtype	Language	Title	Singer		
#20135	#2	#8	#2	#Love Lockdown	#West, Kanye	#N:\Custom HD787\Love Lockdown - West, Kanye.mp3	#N:\Custom HD787\Love Lockdown - West, Kanye.cdg
#20136	#2	#8	#2	#Love Machine	#Miracles, The	#N:\Custom HD787\Love Machine - Miracles, The.mp3	#N:\Custom HD787\Love Machine - Miracles, The.cdg
#20137	#2	#8	#2	#Love Me	#1975, The	#N:\Custom HD787\Love Me - 1975, The.mp3	#N:\Custom HD787\Love Me - 1975, The.cdg
#20138	#2	#8	#2	#Love Me	#Bieber, Justin	#N:\Custom HD787\Love Me - Bieber, Justin.mp3	#N:\Custom HD787\Love Me - Bieber, Justin.cdg
#20139	#2	#8	#2	#Love Me	#Presley, Elvis	#N:\Custom HD787\Love Me - Presley, Elvis.mp3	#N:\Custom HD787\Love Me - Presley, Elvis.cdg
#20140	#2	#8	#2	#Love Me	#Raye, Collin	#N:\Custom HD787\Love Me - Raye, Collin.mp3	#N:\Custom HD787\Love Me - Raye, Collin.cdg
#20141	#2	#8	#2	#Love Me Again	#Newman, John	#N:\Custom HD787\Love Me Again - Newman, John.mp3	#N:\Custom HD787\Love Me Again - Newman, John.cdg
#20142	#2	#8	#2	#Love Me Bad	#Durbin, James	#N:\Custom HD787\Love Me Bad - Durbin, James.mp3	#N:\Custom HD787\Love Me Bad - Durbin, James.cdg
#20143	#2	#8	#2	#Love Me Better	#Blunt, James	#N:\Custom HD787\Love Me Better - Blunt, James.mp3	#N:\Custom HD787\Love Me Better - Blunt, James.cdg
#20144	#2	#8	#2	#Love Me Do	#Beatles, The	#N:\Custom HD787\Love Me Do - Beatles, The.mp3	#N:\Custom HD787\Love Me Do - Beatles, The.cdg
#20145	#2	#8	#2	#Love Me For A Reason	#Osmonds, The	#N:\Custom HD787\Love Me For A Reason - Osmonds, The.mp3	#N:\Custom HD787\Love Me For A Reason - Osmonds, The.cdg
#20146	#2	#8	#2	#Love Me Good	#(Spiritual) Smith, Michael W.	#N:\Custom HD787\Love Me Good - (Spiritual) Smith, Michael W..mp3	#N:\Custom HD787\Love Me Good - (Spiritual) Smith, Michael W..cdg
#20147	#2	#8	#2	#Love Me Good	#Maysa	#N:\Custom HD787\Love Me Good - Maysa.mp3	#N:\Custom HD787\Love Me Good - Maysa.cdg
#20148	#2	#8	#2	#Love Me Good	#Smith, Michael W.	#N:\Custom HD787\Love Me Good - Smith, Michael W..mp3	#N:\Custom HD787\Love Me Good - Smith, Michael W..cdg
#20149	#2	#8	#2	#Love Me Harder	#Grande, Ariana & The Weeknd	#N:\Custom HD787\Love Me Harder - Grande, Ariana & The Weeknd.mp3	#N:\Custom HD787\Love Me Harder - Grande, Ariana & The Weeknd.cdg
#20150	#2	#8	#2	#Love Me Like You	#Little Mix	#N:\Custom HD787\Love Me Like You - Little Mix.mp3	#N:\Custom HD787\Love Me Like You - Little Mix.cdg
#20151	#2	#8	#2	#Love Me Like You Do	#Goulding, Ellie	#N:\Custom HD787\Love Me Like You Do - Goulding, Ellie.mp3	#N:\Custom HD787\Love Me Like You Do - Goulding, Ellie.cdg
#20152	#2	#8	#2	#Love Me Like You Mean It	#Ballerini, Kelsea	#N:\Custom HD787\Love Me Like You Mean It - Ballerini, Kelsea.mp3	#N:\Custom HD787\Love Me Like You Mean It - Ballerini, Kelsea.cdg
#20153	#2	#8	#2	#Love Me Now	#Legend, John	#N:\Custom HD787\Love Me Now - Legend, John.mp3	#N:\Custom HD787\Love Me Now - Legend, John.cdg
#20154	#2	#8	#2	#Love Me Or Leave Me	#Davis, Sammy Jr.	#N:\Custom HD787\Love Me Or Leave Me - Davis, Sammy Jr..mp3	#N:\Custom HD787\Love Me Or Leave Me - Davis, Sammy Jr..cdg
#20155	#2	#8	#2	#Love Me Or Leave Me	#Horne, Lena	#N:\Custom HD787\Love Me Or Leave Me - Horne, Lena.mp3	#N:\Custom HD787\Love Me Or Leave Me - Horne, Lena.cdg
#20156	#2	#8	#2	#Love Me Tender	#Presley, Elvis	#N:\Custom HD787\Love Me Tender - Presley, Elvis.mp3	#N:\Custom HD787\Love Me Tender - Presley, Elvis.cdg
#20157	#2	#8	#2	#Love Me The Way I Love You	#Vale, Jerry	#N:\Custom HD787\Love Me The Way I Love You - Vale, Jerry.mp3	#N:\Custom HD787\Love Me The Way I Love You - Vale, Jerry.cdg
#20158	#2	#8	#2	#Love Me Tonight	#Jones, Tom	#N:\Custom HD787\Love Me Tonight - Jones, Tom.mp3	#N:\Custom HD787\Love Me Tonight - Jones, Tom.cdg
#20159	#2	#8	#2	#Love Me Tonight	#Presley, Elvis	#N:\Custom HD787\Love Me Tonight - Presley, Elvis.mp3	#N:\Custom HD787\Love Me Tonight - Presley, Elvis.cdg
#20160	#2	#8	#2	#Love Me With All Your Heart	#Vale, Jerry	#N:\Custom HD787\Love Me With All Your Heart - Vale, Jerry.mp3	#N:\Custom HD787\Love Me With All Your Heart - Vale, Jerry.cdg
#20161	#2	#8	#2	#Love Me With All Your Heart	#Williams, Andy	#N:\Custom HD787\Love Me With All Your Heart - Williams, Andy.mp3	#N:\Custom HD787\Love Me With All Your Heart - Williams, Andy.cdg
#20162	#2	#8	#2	#Love More	#Brown, Chris & Nicki Minaj	#N:\Custom HD787\Love More - Brown, Chris & Nicki Minaj.mp3	#N:\Custom HD787\Love More - Brown, Chris & Nicki Minaj.cdg
#20163	#2	#8	#2	#Love My Life	#Williams, Robbie	#N:\Custom HD787\Love My Life - Williams, Robbie.mp3	#N:\Custom HD787\Love My Life - Williams, Robbie.cdg
#20164	#2	#8	#2	#Love Never Fails	#KEM	#N:\Custom HD787\Love Never Fails - KEM.mp3	#N:\Custom HD787\Love Never Fails - KEM.cdg
#20165	#2	#8	#2	#Love Never Felt So Good	#Jackson, Michael & Justin Timberlake	#N:\Custom HD787\Love Never Felt So Good - Jackson, Michael & Justin Timberlake.mp3	#N:\Custom HD787\Love Never Felt So Good - Jackson, Michael & Justin Timberlake.cdg
#20166	#2	#8	#2	#Love Of A Lifetime	#Firehouse	#N:\Custom HD787\Love Of A Lifetime - Firehouse.mp3	#N:\Custom HD787\Love Of A Lifetime - Firehouse.cdg
#20167	#2	#8	#2	#Love Of A Woman	#Tritt, Travis	#N:\Custom HD787\Love Of A Woman - Tritt, Travis.mp3	#N:\Custom HD787\Love Of A Woman - Tritt, Travis.cdg
#20168	#2	#8	#2	#Love Of Another Kind	#(Spiritual) Grant, Amy	#N:\Custom HD787\Love Of Another Kind - (Spiritual) Grant, Amy.mp3	#N:\Custom HD787\Love Of Another Kind - (Spiritual) Grant, Amy.cdg
#20169	#2	#8	#2	#Love Of God, The	#(Spiritual) MercyMe	#N:\Custom HD787\Love Of God, The - (Spiritual) MercyMe.mp3	#N:\Custom HD787\Love Of God, The - (Spiritual) MercyMe.cdg
#20170	#2	#8	#2	#Love Of My Life	#(Spiritual) Smith, Michael W. & Jim Brickman	#N:\Custom HD787\Love Of My Life - (Spiritual) Smith, Michael W. & Jim Brickman.mp3	#N:\Custom HD787\Love Of My Life - (Spiritual) Smith, Michael W. & Jim Brickman.cdg
#20171	#2	#8	#2	#Love Of My Life	#(Spiritual) Smith, Michael W.	#N:\Custom HD787\Love Of My Life - (Spiritual) Smith, Michael W..mp3	#N:\Custom HD787\Love Of My Life - (Spiritual) Smith, Michael W..cdg
#20172	#2	#8	#2	#Love Of My Life	#Kershaw, Sammy	#N:\Custom HD787\Love Of My Life - Kershaw, Sammy.mp3	#N:\Custom HD787\Love Of My Life - Kershaw, Sammy.cdg
#20173	#2	#8	#2	#Love Of My Life	#McKnight, Brian	#N:\Custom HD787\Love Of My Life - McKnight, Brian.mp3	#N:\Custom HD787\Love Of My Life - McKnight, Brian.cdg
#20174	#2	#8	#2	#Love Of My Life	#Santana	#N:\Custom HD787\Love Of My Life - Santana.mp3	#N:\Custom HD787\Love Of My Life - Santana.cdg
#20175	#2	#8	#2	#Love Of My Life	#Smith, Michael W. & Jim Brickman	#N:\Custom HD787\Love Of My Life - Smith, Michael W. & Jim Brickman.mp3	#N:\Custom HD787\Love Of My Life - Smith, Michael W. & Jim Brickman.cdg
#20176	#2	#8	#2	#Love Of My Life	#Winans, BeBe & CeCe	#N:\Custom HD787\Love Of My Life - Winans, BeBe & CeCe.mp3	#N:\Custom HD787\Love Of My Life - Winans, BeBe & CeCe.cdg
#20177	#2	#8	#2	#Love Of My Life (An Ode To Hip Hop)	#Badu, Erykah & Common	#N:\Custom HD787\Love Of My Life (An Ode To Hip Hop) - Badu, Erykah & Common.mp3	#N:\Custom HD787\Love Of My Life (An Ode To Hip Hop) - Badu, Erykah & Common.cdg
#20178	#2	#8	#2	#Love Of My Life (An Ode To Hip Hop) (Explicit)	#Badu, Erykah And Common	#N:\Custom HD787\Love Of My Life (An Ode To Hip Hop) (Explicit) - Badu, Erykah And Common.mp3	#N:\Custom HD787\Love Of My Life (An Ode To Hip Hop) (Explicit) - Badu, Erykah And Common.cdg
#20179	#2	#8	#2	#Love Of The Common People	#Young, Paul	#N:\Custom HD787\Love Of The Common People - Young, Paul.mp3	#N:\Custom HD787\Love Of The Common People - Young, Paul.cdg
#20180	#2	#8	#2	#Love On A Two Way Street	#Moments, The	#N:\Custom HD787\Love On A Two Way Street - Moments, The.mp3	#N:\Custom HD787\Love On A Two Way Street - Moments, The.cdg
#20181	#2	#8	#2	#Love On Arrival	#Seals, Dan	#N:\Custom HD787\Love On Arrival - Seals, Dan.mp3	#N:\Custom HD787\Love On Arrival - Seals, Dan.cdg
#20182	#2	#8	#2	#Love On Me	#Galantis & Hook N Sling	#N:\Custom HD787\Love On Me - Galantis & Hook N Sling.mp3	#N:\Custom HD787\Love On Me - Galantis & Hook N Sling.cdg
#20183	#2	#8	#2	#Love On My Mind	#Xscape	#N:\Custom HD787\Love On My Mind - Xscape.mp3	#N:\Custom HD787\Love On My Mind - Xscape.cdg
#20184	#2	#8	#2	#Love On The Brain	#Rihanna	#N:\Custom HD787\Love On The Brain - Rihanna.mp3	#N:\Custom HD787\Love On The Brain - Rihanna.cdg
#20185	#2	#8	#2	#Love On The Rocks	#Diamond, Neil	#N:\Custom HD787\Love On The Rocks - Diamond, Neil.mp3	#N:\Custom HD787\Love On The Rocks - Diamond, Neil.cdg
#20186	#2	#8	#2	#Love On The Weekend	#Mayer, John	#N:\Custom HD787\Love On The Weekend - Mayer, John.mp3	#N:\Custom HD787\Love On The Weekend - Mayer, John.cdg
#20187	#2	#8	#2	#Love Potion #9	#Searchers, The	#N:\Custom HD787\Love Potion #9 - Searchers, The.mp3	#N:\Custom HD787\Love Potion #9 - Searchers, The.cdg
#20188	#2	#8	#2	#Love Profusion	#Madonna	#N:\Custom HD787\Love Profusion - Madonna.mp3	#N:\Custom HD787\Love Profusion - Madonna.cdg
#20189	#2	#8	#2	#Love Really Hurts Without You	#Ocean, Billy	#N:\Custom HD787\Love Really Hurts Without You - Ocean, Billy.mp3	#N:\Custom HD787\Love Really Hurts Without You - Ocean, Billy.cdg
#20190	#2	#8	#2	#Love Remains	#Raye, Collin	#N:\Custom HD787\Love Remains - Raye, Collin.mp3	#N:\Custom HD787\Love Remains - Raye, Collin.cdg
#20191	#2	#8	#2	#Love Remains The Same	#Rossdale, Gavin	#N:\Custom HD787\Love Remains The Same - Rossdale, Gavin.mp3	#N:\Custom HD787\Love Remains The Same - Rossdale, Gavin.cdg
#20192	#2	#8	#2	#Love Revolution	#Young, Will	#N:\Custom HD787\Love Revolution - Young, Will.mp3	#N:\Custom HD787\Love Revolution - Young, Will.cdg
#20193	#2	#8	#2	#Love Rollercoaster	#Ohio Players, The	#N:\Custom HD787\Love Rollercoaster - Ohio Players, The.mp3	#N:\Custom HD787\Love Rollercoaster - Ohio Players, The.cdg
#20194	#2	#8	#2	#Love Runs Out	#OneRepublic	#N:\Custom HD787\Love Runs Out - OneRepublic.mp3	#N:\Custom HD787\Love Runs Out - OneRepublic.cdg
#20195	#2	#8	#2	#Love Safari	#Songz, Trey	#N:\Custom HD787\Love Safari - Songz, Trey.mp3	#N:\Custom HD787\Love Safari - Songz, Trey.cdg
#20196	#2	#8	#2	#Love Sex Magic	#Ciara & Justin Timberlake	#N:\Custom HD787\Love Sex Magic - Ciara & Justin Timberlake.mp3	#N:\Custom HD787\Love Sex Magic - Ciara & Justin Timberlake.cdg
#20197	#2	#8	#2	#Love Shack	#B-52's, The	#N:\Custom HD787\Love Shack - B-52's, The.mp3	#N:\Custom HD787\Love Shack - B-52's, The.cdg
#20198	#2	#8	#2	#Love She Can't Live Without	#Black, Clint	#N:\Custom HD787\Love She Can't Live Without - Black, Clint.mp3	#N:\Custom HD787\Love She Can't Live Without - Black, Clint.cdg
#20199	#2	#8	#2	#Love Sneakin' Up On You	#Raitt, Bonnie	#N:\Custom HD787\Love Sneakin' Up On You - Raitt, Bonnie.mp3	#N:\Custom HD787\Love Sneakin' Up On You - Raitt, Bonnie.cdg
#20200	#2	#8	#2	#Love So Beautiful, A	#Bolton, Michael	#N:\Custom HD787\Love So Beautiful, A - Bolton, Michael.mp3	#N:\Custom HD787\Love So Beautiful, A - Bolton, Michael.cdg
#20201	#2	#8	#2	#Love So Soft	#Clarkson, Kelly	#N:\Custom HD787\Love So Soft - Clarkson, Kelly.mp3	#N:\Custom HD787\Love So Soft - Clarkson, Kelly.cdg
#20202	#2	#8	#2	#Love Someone Like Me	#Dunn, Holly	#N:\Custom HD787\Love Someone Like Me - Dunn, Holly.mp3	#N:\Custom HD787\Love Someone Like Me - Dunn, Holly.cdg
#20203	#2	#8	#2	#Love Song	#(Spiritual) Third Day	#N:\Custom HD787\Love Song - (Spiritual) Third Day.mp3	#N:\Custom HD787\Love Song - (Spiritual) Third Day.cdg
#20204	#2	#8	#2	#Love Song	#311	#N:\Custom HD787\Love Song - 311.mp3	#N:\Custom HD787\Love Song - 311.cdg
#20205	#2	#8	#2	#Love Song	#Bareilles, Sara	#N:\Custom HD787\Love Song - Bareilles, Sara.mp3	#N:\Custom HD787\Love Song - Bareilles, Sara.cdg
#20206	#2	#8	#2	#Love Song	#Missez & Pimp C	#N:\Custom HD787\Love Song - Missez & Pimp C.mp3	#N:\Custom HD787\Love Song - Missez & Pimp C.cdg
#20207	#2	#8	#2	#Love Song	#Tesla	#N:\Custom HD787\Love Song - Tesla.mp3	#N:\Custom HD787\Love Song - Tesla.cdg
#20208	#2	#8	#2	#Love Song Of The Year	#Presley, Elvis	#N:\Custom HD787\Love Song Of The Year - Presley, Elvis.mp3	#N:\Custom HD787\Love Song Of The Year - Presley, Elvis.cdg
#20209	#2	#8	#2	#Love Song, The	#Bates, Jeff	#N:\Custom HD787\Love Song, The - Bates, Jeff.mp3	#N:\Custom HD787\Love Song, The - Bates, Jeff.cdg
#20210	#2	#8	#2	#Love Stinks	#Geils, J., Band	#N:\Custom HD787\Love Stinks - Geils, J., Band.mp3	#N:\Custom HD787\Love Stinks - Geils, J., Band.cdg
#20211	#2	#8	#2	#Love Story	#Swift, Taylor	#N:\Custom HD787\Love Story - Swift, Taylor.mp3	#N:\Custom HD787\Love Story - Swift, Taylor.cdg
#20212	#2	#8	#2	#Love Story In The Making, A	#Davis, Linda	#N:\Custom HD787\Love Story In The Making, A - Davis, Linda.mp3	#N:\Custom HD787\Love Story In The Making, A - Davis, Linda.cdg
#20213	#2	#8	#2	#Love Struck Baby	#Vaughan, Stevie Ray	#N:\Custom HD787\Love Struck Baby - Vaughan, Stevie Ray.mp3	#N:\Custom HD787\Love Struck Baby - Vaughan, Stevie Ray.cdg
#20214	#2	#8	#2	#Love Suggestions	#Downing, Will	#N:\Custom HD787\Love Suggestions - Downing, Will.mp3	#N:\Custom HD787\Love Suggestions - Downing, Will.cdg
#20215	#2	#8	#2	#Love Takes Time	#(Spiritual) Duncan, Bryan	#N:\Custom HD787\Love Takes Time - (Spiritual) Duncan, Bryan.mp3	#N:\Custom HD787\Love Takes Time - (Spiritual) Duncan, Bryan.cdg
#20216	#2	#8	#2	#Love Takes Time	#Carey, Mariah	#N:\Custom HD787\Love Takes Time - Carey, Mariah.mp3	#N:\Custom HD787\Love Takes Time - Carey, Mariah.cdg
#20217	#2	#8	#2	#Love That We Lost, The	#Wright, Chely	#N:\Custom HD787\Love That We Lost, The - Wright, Chely.mp3	#N:\Custom HD787\Love That We Lost, The - Wright, Chely.cdg
#20218	#2	#8	#2	#Love The One You're With	#Stills, Stephen	#N:\Custom HD787\Love The One You're With - Stills, Stephen.mp3	#N:\Custom HD787\Love The One You're With - Stills, Stephen.cdg
#20219	#2	#8	#2	#Love The Way We Used To	#Estelle	#N:\Custom HD787\Love The Way We Used To - Estelle.mp3	#N:\Custom HD787\Love The Way We Used To - Estelle.cdg
#20220	#2	#8	#2	#Love The Way You Lie	#Eminem & Rihanna	#N:\Custom HD787\Love The Way You Lie - Eminem & Rihanna.mp3	#N:\Custom HD787\Love The Way You Lie - Eminem & Rihanna.cdg
#20221	#2	#8	#2	#Love Thing	#Spice Girls	#N:\Custom HD787\Love Thing - Spice Girls.mp3	#N:\Custom HD787\Love Thing - Spice Girls.cdg
#20222	#2	#8	#2	#Love This Way	#Eden's Crush	#N:\Custom HD787\Love This Way - Eden's Crush.mp3	#N:\Custom HD787\Love This Way - Eden's Crush.cdg
#20223	#2	#8	#2	#Love To Burn	#Collie, Mark	#N:\Custom HD787\Love To Burn - Collie, Mark.mp3	#N:\Custom HD787\Love To Burn - Collie, Mark.cdg
#20224	#2	#8	#2	#Love To Love Ya	#Timbaland & Magoo	#N:\Custom HD787\Love To Love Ya - Timbaland & Magoo.mp3	#N:\Custom HD787\Love To Love Ya - Timbaland & Magoo.cdg
#20225	#2	#8	#2	#Love To See You Cry	#Iglesias, Enrique	#N:\Custom HD787\Love To See You Cry - Iglesias, Enrique.mp3	#N:\Custom HD787\Love To See You Cry - Iglesias, Enrique.cdg
#20226	#2	#8	#2	#Love Touch	#Stewart, Rod	#N:\Custom HD787\Love Touch - Stewart, Rod.mp3	#N:\Custom HD787\Love Touch - Stewart, Rod.cdg
#20227	#2	#8	#2	#Love Train	#O'Jays, The	#N:\Custom HD787\Love Train - O'Jays, The.mp3	#N:\Custom HD787\Love Train - O'Jays, The.cdg
#20228	#2	#8	#2	#Love Travels	#Mattea, Kathy	#N:\Custom HD787\Love Travels - Mattea, Kathy.mp3	#N:\Custom HD787\Love Travels - Mattea, Kathy.cdg
#20229	#2	#8	#2	#Love Triangle	#Raelynn	#N:\Custom HD787\Love Triangle - Raelynn.mp3	#N:\Custom HD787\Love Triangle - Raelynn.cdg
#20230	#2	#8	#2	#Love Trip	#Kilgore, Jerry	#N:\Custom HD787\Love Trip - Kilgore, Jerry.mp3	#N:\Custom HD787\Love Trip - Kilgore, Jerry.cdg
#20231	#2	#8	#2	#Love Was In The Room	#(Spiritual) Booth Brothers	#N:\Custom HD787\Love Was In The Room - (Spiritual) Booth Brothers.mp3	#N:\Custom HD787\Love Was In The Room - (Spiritual) Booth Brothers.cdg
#20232	#2	#8	#2	#Love Will	#Sparks, Jordin	#N:\Custom HD787\Love Will - Sparks, Jordin.mp3	#N:\Custom HD787\Love Will - Sparks, Jordin.cdg
#20233	#2	#8	#2	#Love Will Be Our Home	#(Spiritual) Patty, Sandi	#N:\Custom HD787\Love Will Be Our Home - (Spiritual) Patty, Sandi.mp3	#N:\Custom HD787\Love Will Be Our Home - (Spiritual) Patty, Sandi.cdg
#20234	#2	#8	#2	#Love Will Keep Us Together	#Captain & Tennille, The	#N:\Custom HD787\Love Will Keep Us Together - Captain & Tennille, The.mp3	#N:\Custom HD787\Love Will Keep Us Together - Captain & Tennille, The.cdg
#20235	#2	#8	#2	#Love Will Lead You Back	#Dayne, Taylor	#N:\Custom HD787\Love Will Lead You Back - Dayne, Taylor.mp3	#N:\Custom HD787\Love Will Lead You Back - Dayne, Taylor.cdg
#20236	#2	#8	#2	#Love Will Never Do (Without You)	#Jackson, Janet	#N:\Custom HD787\Love Will Never Do (Without You) - Jackson, Janet.mp3	#N:\Custom HD787\Love Will Never Do (Without You) - Jackson, Janet.cdg
#20237	#2	#8	#2	#Love Will Save The Day	#Houston, Whitney	#N:\Custom HD787\Love Will Save The Day - Houston, Whitney.mp3	#N:\Custom HD787\Love Will Save The Day - Houston, Whitney.cdg
#20238	#2	#8	#2	#Love Will Stay The Same	#Sullivan, Jazmine	#N:\Custom HD787\Love Will Stay The Same - Sullivan, Jazmine.mp3	#N:\Custom HD787\Love Will Stay The Same - Sullivan, Jazmine.cdg
#20239	#2	#8	#2	#Love Without End Amen	#Strait, George	#N:\Custom HD787\Love Without End Amen - Strait, George.mp3	#N:\Custom HD787\Love Without End Amen - Strait, George.cdg
#20240	#2	#8	#2	#Love Won't Get Any Better	#Anthony, Marc	#N:\Custom HD787\Love Won't Get Any Better - Anthony, Marc.mp3	#N:\Custom HD787\Love Won't Get Any Better - Anthony, Marc.cdg
#20241	#2	#8	#2	#Love Won't Leave You Out In The Rain	#(Spiritual) English, Michael	#N:\Custom HD787\Love Won't Leave You Out In The Rain - (Spiritual) English, Michael.mp3	#N:\Custom HD787\Love Won't Leave You Out In The Rain - (Spiritual) English, Michael.cdg
#20242	#2	#8	#2	#Love Won't Let Me	#Cochran, Tammy	#N:\Custom HD787\Love Won't Let Me - Cochran, Tammy.mp3	#N:\Custom HD787\Love Won't Let Me - Cochran, Tammy.cdg
#20243	#2	#8	#2	#Love Won't Let Me Wait	#Harris, Major	#N:\Custom HD787\Love Won't Let Me Wait - Harris, Major.mp3	#N:\Custom HD787\Love Won't Let Me Wait - Harris, Major.cdg
#20244	#2	#8	#2	#Love Working On You	#Montgomery, John Michael	#N:\Custom HD787\Love Working On You - Montgomery, John Michael.mp3	#N:\Custom HD787\Love Working On You - Montgomery, John Michael.cdg
#20245	#2	#8	#2	#Love Worth Fighting	#Burnin' Daylight	#N:\Custom HD787\Love Worth Fighting - Burnin' Daylight.mp3	#N:\Custom HD787\Love Worth Fighting - Burnin' Daylight.cdg
#20246	#2	#8	#2	#Love You Ain't Seen The Last Of Me	#Byrd, Tracy	#N:\Custom HD787\Love You Ain't Seen The Last Of Me - Byrd, Tracy.mp3	#N:\Custom HD787\Love You Ain't Seen The Last Of Me - Byrd, Tracy.cdg
#20247	#2	#8	#2	#Love You Back	#Akins, Rhett	#N:\Custom HD787\Love You Back - Akins, Rhett.mp3	#N:\Custom HD787\Love You Back - Akins, Rhett.cdg
#20248	#2	#8	#2	#Love You For A Day	#Martin, Ricky	#N:\Custom HD787\Love You For A Day - Martin, Ricky.mp3	#N:\Custom HD787\Love You For A Day - Martin, Ricky.cdg
#20249	#2	#8	#2	#Love You Like That	#Smith, Cannan	#N:\Custom HD787\Love You Like That - Smith, Cannan.mp3	#N:\Custom HD787\Love You Like That - Smith, Cannan.cdg
#20250	#2	#8	#2	#Love You Out Loud	#Rascal Flatts	#N:\Custom HD787\Love You Out Loud - Rascal Flatts.mp3	#N:\Custom HD787\Love You Out Loud - Rascal Flatts.cdg
#20251	#2	#8	#2	#Love You To The Sky	#Erasure	#N:\Custom HD787\Love You To The Sky - Erasure.mp3	#N:\Custom HD787\Love You To The Sky - Erasure.cdg
#20252	#2	#8	#2	#Love Yourself	#Bieber, Justin	#N:\Custom HD787\Love Yourself - Bieber, Justin.mp3	#N:\Custom HD787\Love Yourself - Bieber, Justin.cdg
#20253	#2	#8	#2	#Love, Me	#(Spiritual) Raye, Collin	#N:\Custom HD787\Love, Me - (Spiritual) Raye, Collin.mp3	#N:\Custom HD787\Love, Me - (Spiritual) Raye, Collin.cdg
#20254	#2	#8	#2	#Lovecats, The	#Cure, The	#N:\Custom HD787\Lovecats, The - Cure, The.mp3	#N:\Custom HD787\Lovecats, The - Cure, The.cdg
#20255	#2	#8	#2	#Loved Too Much	#Herndon, Ty	#N:\Custom HD787\Loved Too Much - Herndon, Ty.mp3	#N:\Custom HD787\Loved Too Much - Herndon, Ty.cdg
#20256	#2	#8	#2	#Lovefool	#Cardigans, The	#N:\Custom HD787\Lovefool - Cardigans, The.mp3	#N:\Custom HD787\Lovefool - Cardigans, The.cdg
#20257	#2	#8	#2	#Love	#Hate-Sex-Pain - Godsmack	#N:\Custom HD787\Love-Hate-Sex-Pain - Godsmack.mp3	#N:\Custom HD787\Love-Hate-Sex-Pain - Godsmack.cdg
#20258	#2	#8	#2	#Lovely	#Case	#N:\Custom HD787\Lovely - Case.mp3	#N:\Custom HD787\Lovely - Case.cdg
#20259	#2	#8	#2	#Lovely Rita	#Beatles, The	#N:\Custom HD787\Lovely Rita - Beatles, The.mp3	#N:\Custom HD787\Lovely Rita - Beatles, The.cdg
#20260	#2	#8	#2	#Lovely To See You	#Moody Blues, The	#N:\Custom HD787\Lovely To See You - Moody Blues, The.mp3	#N:\Custom HD787\Lovely To See You - Moody Blues, The.cdg
#20261	#2	#8	#2	#Lover Doll	#Presley, Elvis	#N:\Custom HD787\Lover Doll - Presley, Elvis.mp3	#N:\Custom HD787\Lover Doll - Presley, Elvis.cdg
#20262	#2	#8	#2	#Lover In Me, The	#Easton, Sheena	#N:\Custom HD787\Lover In Me, The - Easton, Sheena.mp3	#N:\Custom HD787\Lover In Me, The - Easton, Sheena.cdg
#20263	#2	#8	#2	#Lover Man (Oh Where Can You Be)	#Holiday, Billie	#N:\Custom HD787\Lover Man (Oh Where Can You Be) - Holiday, Billie.mp3	#N:\Custom HD787\Lover Man (Oh Where Can You Be) - Holiday, Billie.cdg
#20264	#2	#8	#2	#Lover Man (Oh Where Can You Be)	#Ronstadt, Linda	#N:\Custom HD787\Lover Man (Oh Where Can You Be) - Ronstadt, Linda.mp3	#N:\Custom HD787\Lover Man (Oh Where Can You Be) - Ronstadt, Linda.cdg
#20265	#2	#8	#2	#Lover Of The Light	#Mumford & Sons	#N:\Custom HD787\Lover Of The Light - Mumford & Sons.mp3	#N:\Custom HD787\Lover Of The Light - Mumford & Sons.cdg
#20266	#2	#8	#2	#Lovers	#Richard, Cliff	#N:\Custom HD787\Lovers - Richard, Cliff.mp3	#N:\Custom HD787\Lovers - Richard, Cliff.cdg
#20267	#2	#8	#2	#Lovers & Friends	#Lil' Jon & Usher & Ludacris	#N:\Custom HD787\Lovers & Friends - Lil' Jon & Usher & Ludacris.mp3	#N:\Custom HD787\Lovers & Friends - Lil' Jon & Usher & Ludacris.cdg
#20268	#2	#8	#2	#Lover's Concerto, A	#Toys, The	#N:\Custom HD787\Lover's Concerto, A - Toys, The.mp3	#N:\Custom HD787\Lover's Concerto, A - Toys, The.cdg
#20269	#2	#8	#2	#Lovers In Japan	#Coldplay	#N:\Custom HD787\Lovers In Japan - Coldplay.mp3	#N:\Custom HD787\Lovers In Japan - Coldplay.cdg
#20270	#2	#8	#2	#Lovers On The Sun	#Guetta, David & Sam Martin	#N:\Custom HD787\Lovers On The Sun - Guetta, David & Sam Martin.mp3	#N:\Custom HD787\Lovers On The Sun - Guetta, David & Sam Martin.cdg
#20271	#2	#8	#2	#Lover's Question, A	#McPhatter, Clyde	#N:\Custom HD787\Lover's Question, A - McPhatter, Clyde.mp3	#N:\Custom HD787\Lover's Question, A - McPhatter, Clyde.cdg
#20272	#2	#8	#2	#Lovers Who Wander	#Dion & The Belmonts	#N:\Custom HD787\Lovers Who Wander - Dion & The Belmonts.mp3	#N:\Custom HD787\Lovers Who Wander - Dion & The Belmonts.cdg
#20273	#2	#8	#2	#Lovers Will	#Raitt, Bonnie	#N:\Custom HD787\Lovers Will - Raitt, Bonnie.mp3	#N:\Custom HD787\Lovers Will - Raitt, Bonnie.cdg
